Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*9/*13,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*14,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*15,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*16,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*17,,Indeterminate,none
*9/*18,,Indeterminate,none
*9/*19,,Indeterminate,none
*9/*20,,Indeterminate,none
*9/*21,,Indeterminate,none
*9/*22,,Indeterminate,none
*9/*23,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*24,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*25,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*26,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*27,,Indeterminate,none
*9/*28,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*29,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*30,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*31,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*32,,Indeterminate,none
*9/*33,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*34,,Indeterminate,none
*9/*35,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*36,,Indeterminate,none
*9/*37,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*38,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*39,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*40,,Indeterminate,none
*9/*41,,Indeterminate,none
*9/*42,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*43,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*44,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*45,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*46,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*47,,Indeterminate,none
*9/*48,,Indeterminate,none
*9/*49,,Indeterminate,none
*9/*50,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*51,,Indeterminate,none
*9/*52,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*53,,Indeterminate,none
*9/*54,,Indeterminate,none
*9/*55,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*56,,Indeterminate,none
*9/*57,,Indeterminate,none
*9/*58,,Indeterminate,none
*9/*59,,Indeterminate,none
*9/*60,,Indeterminate,none
*9/*61,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*62,,Indeterminate,none
*9/*63,,Indeterminate,none
*9/*64,,Indeterminate,none
*9/*65,,Indeterminate,none
*9/*66,,Indeterminate,none
*9/*67,,Indeterminate,none
*9/*68,,Indeterminate,none
*9/*69,,Indeterminate,none
*9/*70,,Indeterminate,none
*9/*71,,Indeterminate,none
*9/*72,,Indeterminate,none
*9/*73,,Indeterminate,none
*9/*74,,Indeterminate,none
*9/*75,,Indeterminate,none
*10/*10,,Indeterminate,none
*10/*11,,Indeterminate,none
*10/*12,,Indeterminate,none
*10/*13,,Indeterminate,none
*10/*14,,Indeterminate,none
*10/*15,,Indeterminate,none
*10/*16,,Indeterminate,none
*10/*17,,Indeterminate,none
*10/*18,,Indeterminate,none
*10/*19,,Indeterminate,none
*10/*20,,Indeterminate,none
*10/*21,,Indeterminate,none
*10/*22,,Indeterminate,none
*10/*23,,Indeterminate,none
*10/*24,,Indeterminate,none
*10/*25,,Indeterminate,none
*10/*26,,Indeterminate,none
*10/*27,,Indeterminate,none
*10/*28,,Indeterminate,none
*10/*29,,Indeterminate,none
*10/*30,,Indeterminate,none
*10/*31,,Indeterminate,none
*10/*32,,Indeterminate,none
*10/*33,,Indeterminate,none
*10/*34,,Indeterminate,none
*10/*35,,Indeterminate,none
*10/*36,,Indeterminate,none
*10/*37,,Indeterminate,none
*10/*38,,Indeterminate,none
*10/*39,,Indeterminate,none
*10/*40,,Indeterminate,none
*10/*41,,Indeterminate,none
*10/*42,,Indeterminate,none
*10/*43,,Indeterminate,none
*10/*44,,Indeterminate,none
*10/*45,,Indeterminate,none
*10/*46,,Indeterminate,none
*10/*47,,Indeterminate,none
*10/*48,,Indeterminate,none
*10/*49,,Indeterminate,none
*10/*50,,Indeterminate,none
*10/*51,,Indeterminate,none
*10/*52,,Indeterminate,none
*10/*53,,Indeterminate,none
*10/*54,,Indeterminate,none
*10/*55,,Indeterminate,none
*10/*56,,Indeterminate,none
*10/*57,,Indeterminate,none
*10/*58,,Indeterminate,none
*10/*59,,Indeterminate,none
*10/*60,,Indeterminate,none
*10/*61,,Indeterminate,none
*10/*62,,Indeterminate,none
*10/*63,,Indeterminate,none
*10/*64,,Indeterminate,none
*10/*65,,Indeterminate,none
*10/*66,,Indeterminate,none
*10/*67,,Indeterminate,none
*10/*68,,Indeterminate,none
*10/*69,,Indeterminate,none
*10/*70,,Indeterminate,none
*10/*71,,Indeterminate,none
*10/*72,,Indeterminate,none
*10/*73,,Indeterminate,none
*10/*74,,Indeterminate,none
*10/*75,,Indeterminate,none
*11/*11,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*12,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*13,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*14,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*15,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*16,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*17,,Indeterminate,none
*11/*18,,Indeterminate,none
*11/*19,,Indeterminate,none
*11/*20,,Indeterminate,none
*11/*21,,Indeterminate,none
*11/*22,,Indeterminate,none
*11/*23,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*24,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*25,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*26,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*27,,Indeterminate,none
*11/*28,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*30,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*32,,Indeterminate,none
*11/*33,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*34,,Indeterminate,none
*11/*35,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*36,,Indeterminate,none
*11/*37,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*39,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*40,,Indeterminate,none
*11/*41,,Indeterminate,none
*11/*42,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*43,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*45,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*47,,Indeterminate,none
*11/*48,,Indeterminate,none
*11/*49,,Indeterminate,none
*11/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*51,,Indeterminate,none
*11/*52,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*53,,Indeterminate,none
*11/*54,,Indeterminate,none
*11/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*56,,Indeterminate,none
*11/*57,,Indeterminate,none
*11/*58,,Indeterminate,none
*11/*59,,Indeterminate,none
*11/*60,,Indeterminate,none
*11/*61,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*62,,Indeterminate,none
*11/*63,,Indeterminate,none
*11/*64,,Indeterminate,none
*11/*65,,Indeterminate,none
*11/*66,,Indeterminate,none
*11/*67,,Indeterminate,none
*11/*68,,Indeterminate,none
*11/*69,,Indeterminate,none
*11/*70,,Indeterminate,none
*11/*71,,Indeterminate,none
*11/*72,,Indeterminate,none
*11/*73,,Indeterminate,none
*11/*74,,Indeterminate,none
*11/*75,,Indeterminate,none
*12/*12,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*13,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*14,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*15,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*16,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*17,,Indeterminate,none
*12/*18,,Indeterminate,none
*12/*19,,Indeterminate,none
*12/*20,,Indeterminate,none
*12/*21,,Indeterminate,none
*12/*22,,Indeterminate,none
*12/*23,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*24,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*25,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*26,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*27,,Indeterminate,none
*12/*28,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*30,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*32,,Indeterminate,none
*12/*33,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*34,,Indeterminate,none
*12/*35,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*36,,Indeterminate,none
*12/*37,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*39,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*40,,Indeterminate,none
*12/*41,,Indeterminate,none
*12/*42,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*43,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*45,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*47,,Indeterminate,none
*12/*48,,Indeterminate,none
*12/*49,,Indeterminate,none
*12/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*51,,Indeterminate,none
*12/*52,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*53,,Indeterminate,none
*12/*54,,Indeterminate,none
*12/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*56,,Indeterminate,none
*12/*57,,Indeterminate,none
*12/*58,,Indeterminate,none
*12/*59,,Indeterminate,none
*12/*60,,Indeterminate,none
*12/*61,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*62,,Indeterminate,none
*12/*63,,Indeterminate,none
*12/*64,,Indeterminate,none
*12/*65,,Indeterminate,none
*12/*66,,Indeterminate,none
*12/*67,,Indeterminate,none
*12/*68,,Indeterminate,none
*12/*69,,Indeterminate,none
*12/*70,,Indeterminate,none
*12/*71,,Indeterminate,none
*12/*72,,Indeterminate,none
*12/*73,,Indeterminate,none
*12/*74,,Indeterminate,none
*12/*75,,Indeterminate,none
*13/*13,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*14,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*15,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*16,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*17,,Indeterminate,none
*13/*18,,Indeterminate,none
*13/*19,,Indeterminate,none
*13/*20,,Indeterminate,none
*13/*21,,Indeterminate,none
*13/*22,,Indeterminate,none
*13/*23,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*24,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*25,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*26,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*27,,Indeterminate,none
*13/*28,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*29,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*30,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*31,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*32,,Indeterminate,none
*13/*33,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*34,,Indeterminate,none
*13/*35,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*36,,Indeterminate,none
*13/*37,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*38,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*39,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*40,,Indeterminate,none
*13/*41,,Indeterminate,none
*13/*42,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*43,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*44,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*45,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*46,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*47,,Indeterminate,none
*13/*48,,Indeterminate,none
*13/*49,,Indeterminate,none
*13/*50,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*51,,Indeterminate,none
*13/*52,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*53,,Indeterminate,none
*13/*54,,Indeterminate,none
*13/*55,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*56,,Indeterminate,none
*13/*57,,Indeterminate,none
*13/*58,,Indeterminate,none
*13/*59,,Indeterminate,none
*13/*60,,Indeterminate,none
*13/*61,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*62,,Indeterminate,none
*13/*63,,Indeterminate,none
*13/*64,,Indeterminate,none
*13/*65,,Indeterminate,none
*13/*66,,Indeterminate,none
*13/*67,,Indeterminate,none
*13/*68,,Indeterminate,none
*13/*69,,Indeterminate,none
*13/*70,,Indeterminate,none
*13/*71,,Indeterminate,none
*13/*72,,Indeterminate,none
*13/*73,,Indeterminate,none
*13/*74,,Indeterminate,none
*13/*75,,Indeterminate,none
*14/*14,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*15,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*16,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*17,,Indeterminate,none
*14/*18,,Indeterminate,none
*14/*19,,Indeterminate,none
*14/*20,,Indeterminate,none
*14/*21,,Indeterminate,none
*14/*22,,Indeterminate,none
*14/*23,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*24,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*25,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*26,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*27,,Indeterminate,none
*14/*28,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*30,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*32,,Indeterminate,none
*14/*33,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*34,,Indeterminate,none
*14/*35,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*36,,Indeterminate,none
*14/*37,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*39,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*40,,Indeterminate,none
*14/*41,,Indeterminate,none
*14/*42,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*43,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*45,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*47,,Indeterminate,none
*14/*48,,Indeterminate,none
*14/*49,,Indeterminate,none
*14/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*51,,Indeterminate,none
*14/*52,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*14/*53,,Indeterminate,none
*14/*54,,Indeterminate,none
*14/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*56,,Indeterminate,none
*14/*57,,Indeterminate,none
*14/*58,,Indeterminate,none
*14/*59,,Indeterminate,none
*14/*60,,Indeterminate,none
*14/*61,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*14/*62,,Indeterminate,none
*14/*63,,Indeterminate,none
*14/*64,,Indeterminate,none
*14/*65,,Indeterminate,none
*14/*66,,Indeterminate,none
*14/*67,,Indeterminate,none
*14/*68,,Indeterminate,none
*14/*69,,Indeterminate,none
*14/*70,,Indeterminate,none
*14/*71,,Indeterminate,none
*14/*72,,Indeterminate,none
*14/*73,,Indeterminate,none
*14/*74,,Indeterminate,none
*14/*75,,Indeterminate,none
*15/*15,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*16,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*17,,Indeterminate,none
*15/*18,,Indeterminate,none
*15/*19,,Indeterminate,none
*15/*20,,Indeterminate,none
*15/*21,,Indeterminate,none
*15/*22,,Indeterminate,none
*15/*23,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*24,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*25,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*26,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*27,,Indeterminate,none
*15/*28,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*29,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*30,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*31,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*32,,Indeterminate,none
*15/*33,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*34,,Indeterminate,none
*15/*35,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*36,,Indeterminate,none
*15/*37,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*38,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*39,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*40,,Indeterminate,none
*15/*41,,Indeterminate,none
*15/*42,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*43,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*44,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*45,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*46,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*47,,Indeterminate,none
*15/*48,,Indeterminate,none
*15/*49,,Indeterminate,none
*15/*50,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*51,,Indeterminate,none
*15/*52,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*53,,Indeterminate,none
*15/*54,,Indeterminate,none
*15/*55,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*56,,Indeterminate,none
*15/*57,,Indeterminate,none
*15/*58,,Indeterminate,none
*15/*59,,Indeterminate,none
*15/*60,,Indeterminate,none
*15/*61,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*15/*62,,Indeterminate,none
*15/*63,,Indeterminate,none
*15/*64,,Indeterminate,none
*15/*65,,Indeterminate,none
*15/*66,,Indeterminate,none
*15/*67,,Indeterminate,none
*15/*68,,Indeterminate,none
*15/*69,,Indeterminate,none
*15/*70,,Indeterminate,none
*15/*71,,Indeterminate,none
*15/*72,,Indeterminate,none
*15/*73,,Indeterminate,none
*15/*74,,Indeterminate,none
*15/*75,,Indeterminate,none
*16/*16,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*17,,Indeterminate,none
*16/*18,,Indeterminate,none
*16/*19,,Indeterminate,none
*16/*20,,Indeterminate,none
*16/*21,,Indeterminate,none
*16/*22,,Indeterminate,none
*16/*23,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*24,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*25,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*26,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*27,,Indeterminate,none
*16/*28,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*30,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*32,,Indeterminate,none
*16/*33,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*34,,Indeterminate,none
*16/*35,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*36,,Indeterminate,none
*16/*37,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*39,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*40,,Indeterminate,none
*16/*41,,Indeterminate,none
*16/*42,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*43,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*45,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*47,,Indeterminate,none
*16/*48,,Indeterminate,none
*16/*49,,Indeterminate,none
*16/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*51,,Indeterminate,none
*16/*52,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*16/*53,,Indeterminate,none
*16/*54,,Indeterminate,none
*16/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*56,,Indeterminate,none
*16/*57,,Indeterminate,none
*16/*58,,Indeterminate,none
*16/*59,,Indeterminate,none
*16/*60,,Indeterminate,none
*16/*61,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*16/*62,,Indeterminate,none
*16/*63,,Indeterminate,none
*16/*64,,Indeterminate,none
*16/*65,,Indeterminate,none
*16/*66,,Indeterminate,none
*16/*67,,Indeterminate,none
*16/*68,,Indeterminate,none
*16/*69,,Indeterminate,none
*16/*70,,Indeterminate,none
*16/*71,,Indeterminate,none
*16/*72,,Indeterminate,none
*16/*73,,Indeterminate,none
*16/*74,,Indeterminate,none
*16/*75,,Indeterminate,none
*17/*17,,Indeterminate,none
*17/*18,,Indeterminate,none
*17/*19,,Indeterminate,none
*17/*20,,Indeterminate,none
*17/*21,,Indeterminate,none
*17/*22,,Indeterminate,none
*17/*23,,Indeterminate,none
*17/*24,,Indeterminate,none
*17/*25,,Indeterminate,none
*17/*26,,Indeterminate,none
*17/*27,,Indeterminate,none
*17/*28,,Indeterminate,none
*17/*29,,Indeterminate,none
*17/*30,,Indeterminate,none
*17/*31,,Indeterminate,none
*17/*32,,Indeterminate,none
*17/*33,,Indeterminate,none
*17/*34,,Indeterminate,none
*17/*35,,Indeterminate,none
*17/*36,,Indeterminate,none
*17/*37,,Indeterminate,none
*17/*38,,Indeterminate,none
*17/*39,,Indeterminate,none
*17/*40,,Indeterminate,none
*17/*41,,Indeterminate,none
*17/*42,,Indeterminate,none
*17/*43,,Indeterminate,none
*17/*44,,Indeterminate,none
*17/*45,,Indeterminate,none
*17/*46,,Indeterminate,none
*17/*47,,Indeterminate,none
*17/*48,,Indeterminate,none
*17/*49,,Indeterminate,none
*17/*50,,Indeterminate,none
*17/*51,,Indeterminate,none
*17/*52,,Indeterminate,none
*17/*53,,Indeterminate,none
*17/*54,,Indeterminate,none
*17/*55,,Indeterminate,none
*17/*56,,Indeterminate,none
*17/*57,,Indeterminate,none
*17/*58,,Indeterminate,none
*17/*59,,Indeterminate,none
*17/*60,,Indeterminate,none
*17/*61,,Indeterminate,none
*17/*62,,Indeterminate,none
*17/*63,,Indeterminate,none
*17/*64,,Indeterminate,none
*17/*65,,Indeterminate,none
*17/*66,,Indeterminate,none
*17/*67,,Indeterminate,none
*17/*68,,Indeterminate,none
*17/*69,,Indeterminate,none
*17/*70,,Indeterminate,none
*17/*71,,Indeterminate,none
*17/*72,,Indeterminate,none
*17/*73,,Indeterminate,none
*17/*74,,Indeterminate,none
*17/*75,,Indeterminate,none
*18/*18,,Indeterminate,none
*18/*19,,Indeterminate,none
*18/*20,,Indeterminate,none
*18/*21,,Indeterminate,none
*18/*22,,Indeterminate,none
*18/*23,,Indeterminate,none
*18/*24,,Indeterminate,none
*18/*25,,Indeterminate,none
*18/*26,,Indeterminate,none
*18/*27,,Indeterminate,none
*18/*28,,Indeterminate,none
*18/*29,,Indeterminate,none
*18/*30,,Indeterminate,none
*18/*31,,Indeterminate,none
*18/*32,,Indeterminate,none
*18/*33,,Indeterminate,none
*18/*34,,Indeterminate,none
*18/*35,,Indeterminate,none
*18/*36,,Indeterminate,none
*18/*37,,Indeterminate,none
*18/*38,,Indeterminate,none
*18/*39,,Indeterminate,none
*18/*40,,Indeterminate,none
*18/*41,,Indeterminate,none
*18/*42,,Indeterminate,none
*18/*43,,Indeterminate,none
*18/*44,,Indeterminate,none
*18/*45,,Indeterminate,none
*18/*46,,Indeterminate,none
*18/*47,,Indeterminate,none
*18/*48,,Indeterminate,none
*18/*49,,Indeterminate,none
*18/*50,,Indeterminate,none
*18/*51,,Indeterminate,none
*18/*52,,Indeterminate,none
*18/*53,,Indeterminate,none
*18/*54,,Indeterminate,none
*18/*55,,Indeterminate,none
*18/*56,,Indeterminate,none
*18/*57,,Indeterminate,none
*18/*58,,Indeterminate,none
*18/*59,,Indeterminate,none
*18/*60,,Indeterminate,none
*18/*61,,Indeterminate,none
*18/*62,,Indeterminate,none
*18/*63,,Indeterminate,none
*18/*64,,Indeterminate,none
*18/*65,,Indeterminate,none
*18/*66,,Indeterminate,none
*18/*67,,Indeterminate,none
*18/*68,,Indeterminate,none
*18/*69,,Indeterminate,none
*18/*70,,Indeterminate,none
*18/*71,,Indeterminate,none
*18/*72,,Indeterminate,none
*18/*73,,Indeterminate,none
*18/*74,,Indeterminate,none
*18/*75,,Indeterminate,none
*19/*19,,Indeterminate,none
*19/*20,,Indeterminate,none
*19/*21,,Indeterminate,none
*19/*22,,Indeterminate,none
*19/*23,,Indeterminate,none
*19/*24,,Indeterminate,none
*19/*25,,Indeterminate,none
*19/*26,,Indeterminate,none
*19/*27,,Indeterminate,none
*19/*28,,Indeterminate,none
*19/*29,,Indeterminate,none
*19/*30,,Indeterminate,none
*19/*31,,Indeterminate,none
*19/*32,,Indeterminate,none
*19/*33,,Indeterminate,none
*19/*34,,Indeterminate,none
*19/*35,,Indeterminate,none
*19/*36,,Indeterminate,none
*19/*37,,Indeterminate,none
*19/*38,,Indeterminate,none
*19/*39,,Indeterminate,none
*19/*40,,Indeterminate,none
*19/*41,,Indeterminate,none
*19/*42,,Indeterminate,none
*19/*43,,Indeterminate,none
*19/*44,,Indeterminate,none
*19/*45,,Indeterminate,none
