Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*10/*133,,Indeterminate,none
*10/*134,,Indeterminate,none
*10/*135,,Indeterminate,none
*10/*136,,Indeterminate,none
*10/*137,,Indeterminate,none
*10/*138,,Indeterminate,none
*10/*139,,Indeterminate,none
*10/*140,,Indeterminate,none
*10/*141,,Indeterminate,none
*10/*142,,Indeterminate,none
*10/*143,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10/*144,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10/*145,,Indeterminate,none
*10/*146,,Indeterminate,none
*10/*146x2,,Indeterminate,none
*10/*147,,Indeterminate,none
*10/*148,,Indeterminate,none
*10/*149,,Indeterminate,none
*10/*152,,Indeterminate,none
*10/*153,,Indeterminate,none
*10/*154,,Indeterminate,none
*10/*155,,Indeterminate,none
*10/*156,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10/*157,,Indeterminate,none
*10/*158,,Indeterminate,none
*10/*159,,Indeterminate,none
*10/*160,,Indeterminate,none
*10/*161,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10/*162,,Indeterminate,none
*10/*163,,Indeterminate,none
*10x2/*10x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*11,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*12,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*13,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*13+*1,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*13+*1x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*10x2/*13+*2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*13+*68x2+*4,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*14,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*15,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*17,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*17x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*18,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*19,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*20,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*21,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*22,,Indeterminate,none
*10x2/*23,,Indeterminate,none
*10x2/*24,,Indeterminate,none
*10x2/*25,,Indeterminate,none
*10x2/*26,,Indeterminate,none
*10x2/*27,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*27x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*10x2/*28,,Indeterminate,none
*10x2/*28x2,,Indeterminate,none
*10x2/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*29x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*30,,Indeterminate,none
*10x2/*31,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*32,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*33,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*34,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*35,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*35x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*10x2/*36,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*36+*10,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*36+*10x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*36x2,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*36x2+*10,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*36x2+*10x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*37,,Indeterminate,none
*10x2/*38,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*39,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*40,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*41,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*41x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*41x3,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*42,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*43,,Indeterminate,none
*10x2/*43x2,,Indeterminate,none
*10x2/*44,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*45,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*45x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*10x2/*46,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*47,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*48,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*49,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*51,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*52,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*53,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*54,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*56,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*58,,Indeterminate,none
*10x2/*59,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*60,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*61,,Indeterminate,none
*10x2/*62,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*63,,Indeterminate,none
*10x2/*64,,Indeterminate,none
*10x2/*65,,Indeterminate,none
*10x2/*68,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*68+*2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*10x2/*68+*4,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*69,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*70,,Indeterminate,none
*10x2/*71,,Indeterminate,none
*10x2/*72,,Indeterminate,none
*10x2/*73,,Indeterminate,none
*10x2/*74,,Indeterminate,none
*10x2/*75,,Indeterminate,none
*10x2/*81,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*82,,Indeterminate,none
*10x2/*83,,Indeterminate,none
*10x2/*84,,Indeterminate,none
*10x2/*85,,Indeterminate,none
*10x2/*86,,Indeterminate,none
*10x2/*87,,Indeterminate,none
*10x2/*88,,Indeterminate,none
*10x2/*89,,Indeterminate,none
*10x2/*90,,Indeterminate,none
*10x2/*91,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*92,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*93,,Indeterminate,none
*10x2/*94,,Indeterminate,none
*10x2/*95,,Indeterminate,none
*10x2/*96,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*97,,Indeterminate,none
*10x2/*98,,Indeterminate,none
*10x2/*99,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*100,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*101,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*102,,Indeterminate,none
*10x2/*103,,Indeterminate,none
*10x2/*104,,Indeterminate,none
*10x2/*105,,Indeterminate,none
*10x2/*106,,Indeterminate,none
*10x2/*107,,Indeterminate,none
*10x2/*108,,Indeterminate,none
*10x2/*109,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*110,,Indeterminate,none
*10x2/*111,,Indeterminate,none
*10x2/*112,,Indeterminate,none
*10x2/*113,,Indeterminate,none
*10x2/*114,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*115,,Indeterminate,none
*10x2/*116,,Indeterminate,none
*10x2/*117,,Indeterminate,none
*10x2/*118,,Indeterminate,none
*10x2/*119,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*120,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*121,,Indeterminate,none
*10x2/*122,,Indeterminate,none
*10x2/*123,,Indeterminate,none
*10x2/*124,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*125,,Indeterminate,none
*10x2/*126,,Indeterminate,none
*10x2/*127,,Indeterminate,none
*10x2/*128,,Indeterminate,none
*10x2/*129,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*130,,Indeterminate,none
*10x2/*131,,Indeterminate,none
*10x2/*132,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*133,,Indeterminate,none
*10x2/*134,,Indeterminate,none
*10x2/*135,,Indeterminate,none
*10x2/*136,,Indeterminate,none
*10x2/*137,,Indeterminate,none
*10x2/*138,,Indeterminate,none
*10x2/*139,,Indeterminate,none
*10x2/*140,,Indeterminate,none
*10x2/*141,,Indeterminate,none
*10x2/*142,,Indeterminate,none
*10x2/*143,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*144,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*145,,Indeterminate,none
*10x2/*146,,Indeterminate,none
*10x2/*146x2,,Indeterminate,none
*10x2/*147,,Indeterminate,none
*10x2/*148,,Indeterminate,none
*10x2/*149,,Indeterminate,none
*10x2/*152,,Indeterminate,none
*10x2/*153,,Indeterminate,none
*10x2/*154,,Indeterminate,none
*10x2/*155,,Indeterminate,none
*10x2/*156,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*157,,Indeterminate,none
*10x2/*158,,Indeterminate,none
*10x2/*159,,Indeterminate,none
*10x2/*160,,Indeterminate,none
*10x2/*161,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*10x2/*162,,Indeterminate,none
*10x2/*163,,Indeterminate,none
*11/*11,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*12,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*13,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*13+*1,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*13+*1x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*11/*13+*2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*13+*68x2+*4,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*14,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*15,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*17,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*17x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*18,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*19,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*20,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*21,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*22,,Indeterminate,none
*11/*23,,Indeterminate,none
*11/*24,,Indeterminate,none
*11/*25,,Indeterminate,none
*11/*26,,Indeterminate,none
*11/*27,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*27x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*11/*28,,Indeterminate,none
*11/*28x2,,Indeterminate,none
*11/*29,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*29x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*30,,Indeterminate,none
*11/*31,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*32,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*33,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*34,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*35,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*35x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*11/*36,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*36+*10,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*36+*10x2,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*36x2,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*36x2+*10,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*36x2+*10x2,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*37,,Indeterminate,none
*11/*38,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*39,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*40,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*41,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*41x2,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*41x3,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*42,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*43,,Indeterminate,none
*11/*43x2,,Indeterminate,none
*11/*44,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*45,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*45x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*11/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*47,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*48,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*49,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*50,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*51,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*52,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*53,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*54,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*55,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*56,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*58,,Indeterminate,none
*11/*59,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*60,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*61,,Indeterminate,none
*11/*62,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*63,,Indeterminate,none
*11/*64,,Indeterminate,none
*11/*65,,Indeterminate,none
*11/*68,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*68+*2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*68+*4,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*69,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*70,,Indeterminate,none
*11/*71,,Indeterminate,none
*11/*72,,Indeterminate,none
*11/*73,,Indeterminate,none
*11/*74,,Indeterminate,none
*11/*75,,Indeterminate,none
*11/*81,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*82,,Indeterminate,none
*11/*83,,Indeterminate,none
*11/*84,,Indeterminate,none
*11/*85,,Indeterminate,none
*11/*86,,Indeterminate,none
*11/*87,,Indeterminate,none
*11/*88,,Indeterminate,none
*11/*89,,Indeterminate,none
*11/*90,,Indeterminate,none
*11/*91,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*92,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*93,,Indeterminate,none
*11/*94,,Indeterminate,none
*11/*95,,Indeterminate,none
*11/*96,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*97,,Indeterminate,none
*11/*98,,Indeterminate,none
*11/*99,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*100,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*101,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*102,,Indeterminate,none
*11/*103,,Indeterminate,none
*11/*104,,Indeterminate,none
*11/*105,,Indeterminate,none
*11/*106,,Indeterminate,none
*11/*107,,Indeterminate,none
*11/*108,,Indeterminate,none
*11/*109,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*110,,Indeterminate,none
*11/*111,,Indeterminate,none
*11/*112,,Indeterminate,none
*11/*113,,Indeterminate,none
*11/*114,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*115,,Indeterminate,none
*11/*116,,Indeterminate,none
*11/*117,,Indeterminate,none
*11/*118,,Indeterminate,none
*11/*119,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*120,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*121,,Indeterminate,none
*11/*122,,Indeterminate,none
*11/*123,,Indeterminate,none
*11/*124,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*125,,Indeterminate,none
*11/*126,,Indeterminate,none
*11/*127,,Indeterminate,none
*11/*128,,Indeterminate,none
*11/*129,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*130,,Indeterminate,none
*11/*131,,Indeterminate,none
*11/*132,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*133,,Indeterminate,none
*11/*134,,Indeterminate,none
*11/*135,,Indeterminate,none
*11/*136,,Indeterminate,none
*11/*137,,Indeterminate,none
*11/*138,,Indeterminate,none
*11/*139,,Indeterminate,none
*11/*140,,Indeterminate,none
*11/*141,,Indeterminate,none
*11/*142,,Indeterminate,none
*11/*143,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*144,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*145,,Indeterminate,none
*11/*146,,Indeterminate,none
*11/*146x2,,Indeterminate,none
*11/*147,,Indeterminate,none
*11/*148,,Indeterminate,none
*11/*149,,Indeterminate,none
*11/*152,,Indeterminate,none
*11/*153,,Indeterminate,none
*11/*154,,Indeterminate,none
*11/*155,,Indeterminate,none
*11/*156,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*157,,Indeterminate,none
*11/*158,,Indeterminate,none
*11/*159,,Indeterminate,none
*11/*160,,Indeterminate,none
*11/*161,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*11/*162,,Indeterminate,none
*11/*163,,Indeterminate,none
*12/*12,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*13,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*13+*1,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*13+*1x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*12/*13+*2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*13+*68x2+*4,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*14,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*15,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*17,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*17x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*18,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*19,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*20,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*21,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*22,,Indeterminate,none
*12/*23,,Indeterminate,none
*12/*24,,Indeterminate,none
*12/*25,,Indeterminate,none
*12/*26,,Indeterminate,none
*12/*27,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*27x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*12/*28,,Indeterminate,none
*12/*28x2,,Indeterminate,none
*12/*29,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*29x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*30,,Indeterminate,none
*12/*31,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*32,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*33,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*34,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*35,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*35x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*12/*36,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*36+*10,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*36+*10x2,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*36x2,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*36x2+*10,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*36x2+*10x2,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*37,,Indeterminate,none
*12/*38,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*39,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*40,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*41,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*41x2,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*41x3,0.75,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*42,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*43,,Indeterminate,none
*12/*43x2,,Indeterminate,none
*12/*44,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*45,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*45x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*12/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*47,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*48,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*49,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*50,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*51,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*52,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*53,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*54,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*55,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*56,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*58,,Indeterminate,none
*12/*59,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*60,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*61,,Indeterminate,none
*12/*62,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*63,,Indeterminate,none
*12/*64,,Indeterminate,none
*12/*65,,Indeterminate,none
*12/*68,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*68+*2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*68+*4,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*69,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*70,,Indeterminate,none
*12/*71,,Indeterminate,none
*12/*72,,Indeterminate,none
*12/*73,,Indeterminate,none
*12/*74,,Indeterminate,none
*12/*75,,Indeterminate,none
*12/*81,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*82,,Indeterminate,none
*12/*83,,Indeterminate,none
*12/*84,,Indeterminate,none
*12/*85,,Indeterminate,none
*12/*86,,Indeterminate,none
*12/*87,,Indeterminate,none
*12/*88,,Indeterminate,none
*12/*89,,Indeterminate,none
*12/*90,,Indeterminate,none
*12/*91,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*92,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*93,,Indeterminate,none
*12/*94,,Indeterminate,none
*12/*95,,Indeterminate,none
*12/*96,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*97,,Indeterminate,none
*12/*98,,Indeterminate,none
*12/*99,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*100,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*101,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*102,,Indeterminate,none
*12/*103,,Indeterminate,none
*12/*104,,Indeterminate,none
*12/*105,,Indeterminate,none
*12/*106,,Indeterminate,none
*12/*107,,Indeterminate,none
*12/*108,,Indeterminate,none
*12/*109,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*110,,Indeterminate,none
*12/*111,,Indeterminate,none
*12/*112,,Indeterminate,none
*12/*113,,Indeterminate,none
*12/*114,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*115,,Indeterminate,none
*12/*116,,Indeterminate,none
*12/*117,,Indeterminate,none
*12/*118,,Indeterminate,none
*12/*119,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*120,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*121,,Indeterminate,none
*12/*122,,Indeterminate,none
*12/*123,,Indeterminate,none
*12/*124,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*125,,Indeterminate,none
*12/*126,,Indeterminate,none
*12/*127,,Indeterminate,none
*12/*128,,Indeterminate,none
*12/*129,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*130,,Indeterminate,none
*12/*131,,Indeterminate,none
*12/*132,0.25,Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*133,,Indeterminate,none
*12/*134,,Indeterminate,none
*12/*135,,Indeterminate,none
*12/*136,,Indeterminate,none
*12/*137,,Indeterminate,none
*12/*138,,Indeterminate,none
*12/*139,,Indeterminate,none
*12/*140,,Indeterminate,none
*12/*141,,Indeterminate,none
*12/*142,,Indeterminate,none
*12/*143,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*144,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*145,,Indeterminate,none
*12/*146,,Indeterminate,none
*12/*146x2,,Indeterminate,none
*12/*147,,Indeterminate,none
*12/*148,,Indeterminate,none
*12/*149,,Indeterminate,none
*12/*152,,Indeterminate,none
*12/*153,,Indeterminate,none
*12/*154,,Indeterminate,none
*12/*155,,Indeterminate,none
*12/*156,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*157,,Indeterminate,none
*12/*158,,Indeterminate,none
*12/*159,,Indeterminate,none
*12/*160,,Indeterminate,none
*12/*161,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*12/*162,,Indeterminate,none
*12/*163,,Indeterminate,none
*13/*13,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*13+*1,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*13/*13+*1x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*13/*13+*2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*13/*13+*68x2+*4,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*14,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*13/*15,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*13/*17,0.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*13/*17x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
